Unnamed: 0,smiles,MW,clogp,tpsa,qed,bcl2,bclw,bclxl,mcl1,SAs
313,CC(C)Nc1ccc(S(=O)(=O)NCC(=O)NCc2ccc(S(=O)(=O)N3CCCCC3)cc2)cc1[N+](=O)[O-],553.166490332,2.1844,167.82,0.2810233282576208,4.730365753173828,4.320564270019531,3.824268579483032,5.8961615562438965,2.464290609778068
314,O=C(C1CCN(c2ccc(S(=O)(=O)N3CCOCC3)cc2[N+](=O)[O-])CC1)N1CCN(Cc2ccccc2)CC1,557.2308048399999,2.1765000000000008,116.54,0.3757866215748932,5.146540641784668,4.839339256286621,5.042428970336914,5.65416145324707,2.4282146276537144
315,CCN(CC)S(=O)(=O)c1ccc(N2CCN(C(=O)C3COc4ccccc4O3)CC2)c([N+](=O)[O-])c1,504.167870236,2.1138999999999992,122.53000000000004,0.4150812755713318,6.250414371490479,6.205921173095703,6.927432060241699,5.628827095031738,2.9511296925783874
316,CCN(CC)S(=O)(=O)c1ccc(N2CCN(C(=O)CCC(=O)N3CC(=O)Nc4ccccc43)CC2)c([N+](=O)[O-])c1,572.2053183639999,2.0394000000000005,153.48000000000002,0.3538314878066511,5.713127136230469,5.442381858825684,6.086116790771484,5.214595794677734,2.710159542317994
317,CCN(CC)S(=O)(=O)c1cc(C(=O)N2CCN(S(=O)(=O)c3ccccc3[N+](=O)[O-])CC2)ccc1C,524.1399412359999,2.08042,138.21,0.3805669107281725,5.204084396362305,5.268942832946777,5.674337863922119,5.295454502105713,2.3915249129917573
318,COC(=O)c1csc(S(=O)(=O)N2CCN(C(=O)C3CCN(c4ccccc4[N+](=O)[O-])CC3)CC2)c1,522.124291172,2.1924,130.37,0.3206132908953196,4.529190540313721,5.350471496582031,4.432197093963623,4.8437018394470215,2.5342793689117773
319,CC(C)C(=O)N1CCN(C(=O)C(Cc2c[nH]c3ccccc23)NS(=O)(=O)c2ccc([N+](=O)[O-])cc2)CC1,527.1838546479999,2.2924999999999995,145.72,0.3395472964110212,4.900881767272949,5.103359222412109,4.415221691131592,4.967991352081299,2.90056887289529
320,CCN(CC)S(=O)(=O)c1ccc(C)c(C(=O)NCCNc2ccc(S(C)(=O)=O)cc2[N+](=O)[O-])c1,512.139941236,2.17912,155.79000000000002,0.26356481132572,6.552166938781738,7.121331691741943,7.681906700134277,5.658936977386475,2.438531557342712
321,COc1ccc(NC(=O)C2CCN(c3ccc(S(=O)(=O)N4CCOCC4)cc3[N+](=O)[O-])CC2)cc1,504.167870236,2.4794,131.32000000000002,0.449433617980935,5.587596416473389,5.414831161499023,5.399230003356934,5.249395847320557,2.274567209642475
322,CCN(CC)S(=O)(=O)c1ccc(N2CCC(C(=O)N3CCN(Cc4cc(C)no4)CC3)CC2)c([N+](=O)[O-])c1,548.241703872,2.48252,133.34,0.342189114840868,6.6443376541137695,6.331418037414551,7.474445819854736,5.802932262420654,2.671286039455764
323,O=C(C1CCN(S(=O)(=O)c2ccc(Br)s2)CC1)N1CCN(S(=O)(=O)c2ccccc2[N+](=O)[O-])CC1,605.9912241760001,2.3526000000000007,138.21,0.3631216309081296,8.167333602905273,6.752286911010742,7.5646071434021,6.357027530670166,2.5400065290859164
324,O=[N+]([O-])c1cc(S(=O)(=O)NCCN2CCOCC2)ccc1NC1CCN(Cc2ccccc2)CC1,503.2202401560001,2.2818000000000005,117.05,0.374695240429104,4.875461101531982,4.566853046417236,4.335119247436523,5.754661560058594,2.379379866292755
325,COCCN(CCOC)C(=O)C1CCN(c2ccc(S(=O)(=O)N3CCCCC3)cc2[N+](=O)[O-])CC1,512.230470492,2.107200000000001,122.53,0.326332673645509,5.541182994842529,5.753696918487549,5.50391149520874,5.897067070007324,2.5305635133387767
326,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N1CCC(C(=O)N2CC(=O)Nc3cc(S(=O)(=O)N4CCCCC4)ccc32)CC1,605.1614049519999,2.46382,167.31,0.387056671063032,6.267670631408691,7.188431262969971,6.855498313903809,5.928987503051758,2.768580640566949
327,COc1ccc(S(=O)(=O)N2CCN(C(=O)Cc3cc4c(cc3Br)OCCO4)CC2)cc1[N+](=O)[O-],555.031097764,2.2127,128.52000000000004,0.3915574860568021,5.485366821289063,5.5774102210998535,4.641210556030273,5.617977142333984,2.512272104568765
328,COc1cc(C=c2sc(=CC(=O)C(C)(C)C)n(CC(=O)N3CCCCCC3)c2=O)c([N+](=O)[O-])cc1OC,531.2039213959999,2.4623,120.98,0.3974609737995179,4.789300441741943,4.692202091217041,4.458056926727295,6.18413782119751,2.8885015904688967
329,NC(=O)c1ccc(SCC(=O)Nc2ccc(N3CCOCC3)cc2N2CCOCC2)c([N+](=O)[O-])c1,501.168204584,2.0977,140.27,0.3159967449514604,6.005959987640381,6.416064262390137,6.112786293029785,5.897704124450684,2.542436985866251
330,COc1ccc(S(=O)(=O)N2CCN(C(=O)c3[nH]c(C)c(C(=O)OC(C)C)c3C)CC2)cc1[N+](=O)[O-],508.1627848559999,2.2602400000000005,152.15,0.3395790200179499,7.096008777618408,5.778810501098633,6.642119407653809,5.687774658203125,2.531044341021733
